,Unnamed: 0,acousticness,analysis_url,artist,danceability,duration_ms,eletronica,energy,funk,id,instrumentalness,key,liveness,loudness,metal,mode,rap,rock,sertanejo,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.0,0.000721,https://api.spotify.com/v1/audio-analysis/01ICFoBoco3TaM5r3HthXy,Metallica,0.539,515387,0,0.828,0,01ICFoBoco3TaM5r3HthXy,0.43799999999999994,4,0.198,9.11,0,0,0,1,0,Master Of Puppets - リマスター,0.0361,105.303,4,https://api.spotify.com/v1/tracks/01ICFoBoco3TaM5r3HthXy,audio_features,spotify:track:01ICFoBoco3TaM5r3HthXy,0.5870000000000001
1,1.0,9.86e-05,https://api.spotify.com/v1/audio-analysis/76ro3Y5aWGQgMMmCblq7yH,Of Mice & Men,0.47700000000000004,193577,0,0.976,0,76ro3Y5aWGQgMMmCblq7yH,0.0022,2,0.11900000000000001,4.337,0,1,0,1,0,Warzone,0.0833,150.001,4,https://api.spotify.com/v1/tracks/76ro3Y5aWGQgMMmCblq7yH,audio_features,spotify:track:76ro3Y5aWGQgMMmCblq7yH,0.218
2,2.0,0.0176,https://api.spotify.com/v1/audio-analysis/7oGWqVwmgwGBYXkW4cROlK,The Used,0.358,314373,0,0.8059999999999999,0,7oGWqVwmgwGBYXkW4cROlK,0.00252,7,0.0982,8.924,0,1,0,1,0,Over and Over Again,0.0677,158.77700000000002,4,https://api.spotify.com/v1/tracks/7oGWqVwmgwGBYXkW4cROlK,audio_features,spotify:track:7oGWqVwmgwGBYXkW4cROlK,0.578
3,3.0,0.0018399999999999998,https://api.spotify.com/v1/audio-analysis/7nAfXgeHfDO50upcOjJOaq,Linkin Park,0.593,231307,0,0.7120000000000001,0,7nAfXgeHfDO50upcOjJOaq,0.0,2,0.128,6.325,0,0,0,1,0,Talking to Myself,0.0286,124.01299999999999,4,https://api.spotify.com/v1/tracks/7nAfXgeHfDO50upcOjJOaq,audio_features,spotify:track:7nAfXgeHfDO50upcOjJOaq,0.473
4,4.0,0.00011499999999999999,https://api.spotify.com/v1/audio-analysis/4U9arGcc4ATa7shChhLQP0,Thirty Seconds To Mars,0.494,188228,0,0.778,0,4U9arGcc4ATa7shChhLQP0,0.0,8,0.0904,7.041,0,1,0,1,0,Walk On Water,0.0359,139.963,4,https://api.spotify.com/v1/tracks/4U9arGcc4ATa7shChhLQP0,audio_features,spotify:track:4U9arGcc4ATa7shChhLQP0,0.406
5,5.0,0.00020899999999999998,https://api.spotify.com/v1/audio-analysis/6JSryEdVJTZq6YBn3wK2sn,Foo Fighters,0.515,266187,0,0.917,0,6JSryEdVJTZq6YBn3wK2sn,0.00047599999999999997,1,0.145,7.312,0,1,0,1,0,Arrows,0.0417,121.988,4,https://api.spotify.com/v1/tracks/6JSryEdVJTZq6YBn3wK2sn,audio_features,spotify:track:6JSryEdVJTZq6YBn3wK2sn,0.409
6,6.0,0.0477,https://api.spotify.com/v1/audio-analysis/54RaEDwHbCJKMdDq68EyKE,A Perfect Circle,0.36700000000000005,281781,0,0.903,0,54RaEDwHbCJKMdDq68EyKE,0.00124,4,0.235,5.956,0,0,0,1,0,The Doomed,0.175,106.329,3,https://api.spotify.com/v1/tracks/54RaEDwHbCJKMdDq68EyKE,audio_features,spotify:track:54RaEDwHbCJKMdDq68EyKE,0.239
7,7.0,0.0017699999999999999,https://api.spotify.com/v1/audio-analysis/51txLjbvSBRvtxjCjAFLkM,Royal Blood,0.568,197933,0,0.871,0,51txLjbvSBRvtxjCjAFLkM,0.00040599999999999995,1,0.36,5.235,0,1,0,1,0,How Did We Get So Dark?,0.0494,133.064,4,https://api.spotify.com/v1/tracks/51txLjbvSBRvtxjCjAFLkM,audio_features,spotify:track:51txLjbvSBRvtxjCjAFLkM,0.693
8,8.0,0.00257,https://api.spotify.com/v1/audio-analysis/45HAjqRWiNv6mMPw4NvZrU,Gary Clark Jr.,0.447,193714,0,0.7879999999999999,0,45HAjqRWiNv6mMPw4NvZrU,1.6800000000000002e-05,2,0.0744,4.994,0,0,0,1,0,Come Together,0.0464,80.04,4,https://api.spotify.com/v1/tracks/45HAjqRWiNv6mMPw4NvZrU,audio_features,spotify:track:45HAjqRWiNv6mMPw4NvZrU,0.505
9,9.0,0.0379,https://api.spotify.com/v1/audio-analysis/2jA5Vp93KvnH0tXN6Fpwvl,Frank Carter & The Rattlesnakes,0.562,202507,0,0.588,0,2jA5Vp93KvnH0tXN6Fpwvl,4.84e-05,3,0.0663,5.564,0,0,0,1,0,Spray Paint Love,0.122,136.162,4,https://api.spotify.com/v1/tracks/2jA5Vp93KvnH0tXN6Fpwvl,audio_features,spotify:track:2jA5Vp93KvnH0tXN6Fpwvl,0.65
