,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal
0,0.268,https://api.spotify.com/v1/audio-analysis/1nxmzzoLbCRzsUiPPFwfUh,0.841,253800,0.566,1nxmzzoLbCRzsUiPPFwfUh,0.0,5,0.118,5.818,0,0.0508,132.026,4,https://api.spotify.com/v1/tracks/1nxmzzoLbCRzsUiPPFwfUh,audio_features,spotify:track:1nxmzzoLbCRzsUiPPFwfUh,0.479,De Ninguém,Cacife Clandestino,0,0,0,1,0,0
1,0.805,https://api.spotify.com/v1/audio-analysis/3yZz0emaKwHuEEjWeTTF7n,0.678,233225,0.505,3yZz0emaKwHuEEjWeTTF7n,0.0,11,0.07,7.691,0,0.0408,123.742,4,https://api.spotify.com/v1/tracks/3yZz0emaKwHuEEjWeTTF7n,audio_features,spotify:track:3yZz0emaKwHuEEjWeTTF7n,0.679,Tudo Bem,1Kilo,0,0,0,1,0,0
2,0.622,https://api.spotify.com/v1/audio-analysis/5MYKqp6J8rstffAQBCE2nl,0.716,598737,0.716,5MYKqp6J8rstffAQBCE2nl,0.0,1,0.427,8.52,1,0.382,95.1,4,https://api.spotify.com/v1/tracks/5MYKqp6J8rstffAQBCE2nl,audio_features,spotify:track:5MYKqp6J8rstffAQBCE2nl,0.378,Mil Faces de um Homem Leal (Marighella),Racionais MC's,0,0,0,1,0,0
3,0.108,https://api.spotify.com/v1/audio-analysis/7yBjom4u7SF2xOHAdA0yQt,0.815,271638,0.787,7yBjom4u7SF2xOHAdA0yQt,0.0,6,0.0968,5.539,0,0.105,128.999,4,https://api.spotify.com/v1/tracks/7yBjom4u7SF2xOHAdA0yQt,audio_features,spotify:track:7yBjom4u7SF2xOHAdA0yQt,0.465,Dias Difíceis,Haikaiss,0,0,0,1,0,0
4,0.0504,https://api.spotify.com/v1/audio-analysis/3jeSF0bZwlodupw1Ejcie8,0.713,163845,0.447,3jeSF0bZwlodupw1Ejcie8,0.0,10,0.26,12.733,0,0.589,83.735,4,https://api.spotify.com/v1/tracks/3jeSF0bZwlodupw1Ejcie8,audio_features,spotify:track:3jeSF0bZwlodupw1Ejcie8,0.516,NDDN,Coruja Bc1,0,0,0,1,0,0
5,0.218,https://api.spotify.com/v1/audio-analysis/4qO17EAZDSj9tWBkGW8lOa,0.782,235180,0.491,4qO17EAZDSj9tWBkGW8lOa,0.0,7,0.168,9.762,1,0.081,94.996,4,https://api.spotify.com/v1/tracks/4qO17EAZDSj9tWBkGW8lOa,audio_features,spotify:track:4qO17EAZDSj9tWBkGW8lOa,0.653,Special,Edi Rock,0,0,0,1,0,0
6,0.168,https://api.spotify.com/v1/audio-analysis/118OsKqYSgz3aj25kdua8w,0.588,278182,0.768,118OsKqYSgz3aj25kdua8w,0.0,8,0.184,8.084,1,0.226,76.892,4,https://api.spotify.com/v1/tracks/118OsKqYSgz3aj25kdua8w,audio_features,spotify:track:118OsKqYSgz3aj25kdua8w,0.824,Passou,Trilha Sonora do Gueto,0,0,0,1,0,0
7,0.0616,https://api.spotify.com/v1/audio-analysis/7vEE7wKRrnyjrEw7UVquDS,0.509,278869,0.55,7vEE7wKRrnyjrEw7UVquDS,0.0,2,0.107,12.545,1,0.393,78.43,4,https://api.spotify.com/v1/tracks/7vEE7wKRrnyjrEw7UVquDS,audio_features,spotify:track:7vEE7wKRrnyjrEw7UVquDS,0.274,Mal Com o Mundo,Rashid,0,0,0,1,0,0
8,0.181,https://api.spotify.com/v1/audio-analysis/303Ggzkhj1cUVhV5BbQL0d,0.702,364683,0.649,303Ggzkhj1cUVhV5BbQL0d,0.0,1,0.0959,4.131,1,0.204,77.602,4,https://api.spotify.com/v1/tracks/303Ggzkhj1cUVhV5BbQL0d,audio_features,spotify:track:303Ggzkhj1cUVhV5BbQL0d,0.346,Elza,Rimas e Melodias,0,0,0,1,0,0
9,0.163,https://api.spotify.com/v1/audio-analysis/4i6A0Gt2bVjjtW4jFgH5fl,0.853,244501,0.539,4i6A0Gt2bVjjtW4jFgH5fl,0.0,2,0.0849,8.885,1,0.147,127.039,4,https://api.spotify.com/v1/tracks/4i6A0Gt2bVjjtW4jFgH5fl,audio_features,spotify:track:4i6A0Gt2bVjjtW4jFgH5fl,0.29,Tudo ou Nada,Cacife Clandestino,0,0,0,1,0,0
